size, s1, s2, s3, s4, s5, s6, s7, s8, s9, s10, s11, s12, s13, s14, s15, s16, s17, s18, s19, s20, s21, s22, s23, s24, s25, s26, s27, s28, s29, s30, s31, s32, s33, s34, s35, s36, s37, s38, s39, s40, s41, s42, s43, s44, s45, s46, s47, s48, s49, s50, median
5, 862, 1006, 809, 1483, 1796, 721, 1059, 1613, 1483, 1594, 1281, 1702, 2546, 1533, 2253, 1021, 1088, 1892, 1050, 1004, 1236, 2009, 2062, 2555, 1115, 1538, 936, 1539, 1309, 632, 941, 1468, 811, 1190, 2096, 1371, 1339, 1141, 1652, 2237, 1467, 1115, 2831, 2031, 2467, 1212, 1754, 947, 1372, 1971, 1419.5
6, 3123, 4885, 2248, 4463, 3391, 4697, 2868, 2975, 4363, 3149, 3454, 4413, 3811, 4211, 4067, 1467, 2856, 1882, 5857, 1574, 5915, 2655, 3601, 2798, 1648, 3258, 3703, 1705, 2399, 6533, 4297, 3674, 3671, 3831, 3303, 3713, 4527, 4647, 5558, 2727, 3610, 4458, 2834, 6059, 2762, 4353, 1729, 2999, 2683, 3682, 3605.5
7, 8551, 8167, 6815, 5612, 7377, 7487, 7272, 5975, 5436, 4706, 7754, 9254, 6283, 5799, 6115, 10852, 8964, 10321, 7753, 5388, 4086, 7885, 7236, 9245, 12506, 9000, 6461, 12117, 2657, 7933, 10737, 4361, 9878, 7020, 8745, 4907, 5597, 6425, 6383, 11033, 5988, 10313, 9965, 7395, 1725, 10310, 13147, 7861, 7590, 8431, 7538.5
8, 9415, 20283, 13924, 15349, 16095, 12316, 19331, 20434, 12660, 12456, 25273, 12981, 793, 12190, 14891, 6875, 14443, 11207, 14167, 4695, 20335, 18299, 9636, 5626, 17346, 10817, 15899, 11147, 26124, 12369, 10898, 17984, 8685, 20609, 16627, 8246, 20950, 14528, 12039, 13324, 19651, 16127, 16565, 19085, 4268, 22505, 17593, 13269, 19806, 6259, 14305.0
9, 11039, 36247, 24171, 22740, 34301, 32225, 22859, 8800, 14055, 35086, 13050, 11235, 13956, 13867, 38627, 23129, 29483, 37233, 30957, 35093, 23094, 36607, 44693, 33883, 25979, 41641, 26844, 14719, 31248, 24137, 19606, 35029, 11186, 31451, 47233, 27924, 14168, 11850, 39672, 25503, 30751, 18555, 40373, 33059, 26538, 28034, 22494, 29423, 18201, 25470, 26691.0
10, 38286, 31614, 53251, 30096, 48785, 51574, 59675, 60389, 48995, 12381, 70805, 31694, 42070, 39224, 58537, 39130, 41372, 45532, 24607, 13899, 40379, 48807, 43260, 78888, 14156, 10237, 35117, 41833, 41025, 27930, 64152, 60093, 24177, 40161, 16782, 63070, 62196, 48541, 57517, 20009, 66103, 41397, 9216, 70195, 27900, 52118, 41894, 56645, 49996, 31587, 41863.5
11, 100883, 34434, 83720, 105349, 84623, 31245, 79861, 119894, 99042, 96560, 94728, 43860, 45538, 31471, 50925, 111043, 142533, 77468, 46407, 43942, 50241, 27984, 49882, 72759, 103158, 109761, 115135, 73840, 117340, 22723, 45779, 36830, 74614, 111137, 37486, 56919, 36363, 72755, 79212, 103931, 60767, 36619, 63772, 92814, 79302, 104178, 123359, 76974, 52718, 43632, 74227.0
12, 39925, 138646, 143454, 79349, 151238, 128859, 170135, 148586, 170999, 158181, 42858, 135087, 54495, 163200, 77957, 201325, 125655, 251389, 130293, 122726, 241530, 102929, 161559, 177523, 48010, 122279, 152330, 140782, 81661, 139120, 105531, 98979, 69810, 118056, 38020, 159660, 65060, 193486, 96674, 187389, 114495, 129487, 62367, 129339, 154913, 154329, 175991, 170047, 107101, 34171, 129890.0
13, 195501, 122642, 215047, 122500, 79109, 191348, 174031, 193583, 34176, 142623, 125742, 213735, 276778, 205735, 111449, 153380, 205931, 267124, 252417, 305704, 220188, 61584, 117854, 279355, 270434, 75489, 200498, 214382, 109409, 90816, 233439, 154250, 268218, 149755, 94781, 210792, 99657, 246822, 106510, 165817, 257023, 263122, 104008, 82672, 208542, 200110, 270085, 90368, 243774, 179669, 192465.5
14, 206539, 293883, 352762, 315450, 272526, 182453, 239945, 83468, 492153, 304542, 305102, 438622, 437683, 232533, 203212, 489844, 328225, 400803, 442687, 372430, 174514, 364064, 340202, 101675, 147592, 172976, 171480, 288726, 289450, 333519, 255104, 346696, 284780, 352919, 234516, 287962, 63082, 257616, 169585, 361820, 336956, 204076, 79387, 439722, 177144, 124097, 469118, 478434, 399232, 166620, 289088.0
15, 569454, 785299, 300730, 375539, 610818, 588479, 666855, 529599, 886147, 503261, 590245, 314301, 251725, 453187, 496779, 394283, 677802, 464883, 369095, 337148, 287709, 627417, 327181, 401300, 377280, 618527, 313240, 274872, 231374, 630872, 235431, 599875, 545026, 544403, 221987, 485855, 558878, 302496, 688411, 579483, 419961, 832089, 274245, 305872, 438169, 425137, 287326, 276407, 508100, 686741, 459035.0
16, 337361, 729240, 359451, 480206, 853878, 154743, 830907, 707018, 836652, 763539, 165022, 103393, 149158, 874345, 160553, 758998, 1100156, 375979, 883606, 968393, 291597, 279151, 791175, 730596, 803013, 993000, 134848, 345772, 386368, 673654, 367727, 276321, 474975, 510297, 927978, 818370, 388654, 396975, 235984, 539523, 795755, 148729, 771643, 317430, 974459, 739055, 681048, 684933, 389769, 447705, 524910.0
17, 967760, 917965, 226404, 857205, 1145006, 1266018, 359283, 424484, 748221, 1273063, 1379517, 634935, 482239, 394501, 317033, 403393, 149689, 860530, 1167112, 1080563, 1164240, 646404, 280709, 1029574, 415926, 1252587, 1099341, 454229, 970832, 1086726, 734163, 958633, 408881, 1039812, 979732, 418263, 745770, 761735, 572246, 1048812, 462407, 656255, 623937, 1169461, 558204, 392174, 284603, 276737, 458957, 956398, 739966.5
18, 1486981, 1169655, 1160350, 278001, 402156, 1848228, 1299477, 1060339, 812170, 692771, 1414914, 318247, 925808, 1077729, 1822090, 574695, 1160538, 927219, 1808653, 1183325, 701770, 1857052, 1838942, 1212165, 380647, 1101599, 295975, 800573, 1140624, 1589019, 1172537, 1425230, 662338, 957903, 696817, 1516476, 1903164, 816405, 480399, 1368534, 367512, 1273797, 1982413, 577955, 923915, 1090357, 654156, 1372267, 1430592, 1673934, 1121111.5
